"A acocote nuevo, tlachiquero viejo."
"La zorra mudará los dientes, mas no las mientes."
La zorra nunca se mira la cola.
"La zorra nunca ve su cola y cuando la ve, se asusta."
La pujanza del dinero hace al indio barrigón.
"Labrador de capa negra, poco medra."
Ládreme el perro y no me muerda.
"Ladrón que roba a ladrón, tiene cien años de perdón."
"Laguna que no tiene desagüe, tiene resumidero,..."
... porque en un tanto no puede estar.
"Lana sube lana baja, el señor que la trabaja."
Las aguas buscan sus niveles.
"Las águilas andas solas, los borregos en manada."
Las apariencias engañan.
"Las bolsas de las mujeres son como los conventos,..."
...¡tienen chingos de madres adentro!.
Las buenas palabras están más escondidas que la esmeralda.
Las cabezadas nuevas al rocín viejo le traen nuevas fuerzas.
Las campanas dan porque dan.
Las canas salen de ganas.
Las causas que carecen de razón a gritos se defienden.
Las cosas caen por su propio peso.
Las costumbres se hacen leyes.
Las cuentas claras hacen los buenos amigos.
Las cuentas claras y el chocolate espeso.
Las cuentas claras y las amistades largas.
Las desgracias no andan solas.
Las deudas de cariño solo con amor se pagan.
Las deudas viejas no se pagan y las nuevas se dejan envejecer.
"Las gallinas de arriba, ensucian (cagan) a las de abajo."
Las malas obras nunca llevaron su fruto a buen puerto.
Las manchas de mora con mora se quitan.
Las manos que trabajan no son manos sino alhajas.
"Las manzanas sin piel son buenas, con piel son mejores."
Las margaritas no se hicieron para los cerdos.
Las medias ni en los pies son buenas.
Las medias no son buenas más que en piernas de mujer.
"Las mentadas son como las llamadas a misa, el que quiere va."
"Las mujeres, como las espadas,..."
...solo infunden respeto cuando están desnudas.
"Las mujeres, como las sardinas, entre más chicas, más finas."
Las mujeres ríen cuando pueden y lloran cuando quieren.
Las mujeres se dan en camadas.
"Las mujeres van a misa por salir, rezan por hablar,..."
... y se confiesan por chismear.
"Las mujeres y el vino, hacen errar el camino."
Las mujeres y las pistolas: boca arriba.
"Las mujeres y los gatos tienen la misma opinión,..."
"...que quien teniendo carne en casa, sale a cazar ratón."
Las noticias malas tienen alas y las buenas andan apenas.
"Las palabras son hembras, los hechos, machos."
"Las palabras vuelan, los escritos quedan."
Las palmas son más altas y los puercos comen de ellas.
Las palomas vuelan muy alto; pero al final bajan a comer su máis.
Las penas con pan son buenas.
Las penas con pan son menos.
"Las penas no matan, pero ayudan a morir."
Las piedras rodando se encuentran.
Las pistolas las carga el diablo y las disparan los tarugos.
"Las quieres enamoradas, que se sientan despreciadas."
Las suegras de azúcar y junto al río.
"Las suegras, ni de barro son buenas."
"Las tunas se maduran, pero los nopales no."
Las veredas quitarán pero las querencias cuando.
"Lástima que los que educan niños, no sepan educar los propios."
Lavar puercos con jabón es perder tiempo y jabón.
"Le debo a las once mil vírgenes y a cada santo, un peso."
"Le dijo Judas a Gestas, ¿Que fregaderas son estas?."
Le gusta el trote del macho aunque la zangoloteen.
"Le gusta mamar, beber leche y agostar en buen potrero."
"Le pasó lo que al caballo del gachupín,..."
"...que cuando se acostumbró a no comer, se murió."
"Lechi, camoti y genti habladora; Zamora."
"Lenguas y campanas, las poblanas."
Leña seca pronto prende.
"Letras sin virtud, son perlas en el muladar."
Les das la mano y te agarran el pie.
Les gusta el trote del macho y el ruido del carretón.
"Les gusta la manta fiada, aunque se las den de a real."
Les gustan los pesos a cuatro reales.
Libre Dios nuestros panales de esos que no comen miel.
"Líbreme Dios de los mecos, porque son muy engañosos."
"Líbreme Dios de mis amigos, que de mis enemigos me libro yo."
"Líbreme Dios de una centella, de un rayo,..."
...de un burro en el mes de mayo y de un pendejo a caballo.
Líbrete Dios de los que ponen patitas y manitas.
"Librero, hombre de poco dinero."
Libro cerrado no saca letrado.
"Libro prestado, libro perdido."
"Libro prestado, perdido o estropeado."
"Libro que no has de leer, ¿por qué lo quieres tener?."
"Libro que se regala, no se lee."
"Libros viejos, no para pendejos."
Llagas viejas tarde curan y toda la vida duran.
Llamar al pan; pan y al vino; vino.
"Llamaradas de petate, no falta quien las aguante."
"Llamé al cielo y no me oyó mas si sus puertas me cierra,..."
...de mis pasos en la tierra responda el cielo y no yo.
"Llenando la barriga, la pena se mitiga."
Lleva la cruz en los pechos y el diablo en los hechos.
"Llevad vos marido la artesa, que yo llevaré el cedazo,"
...que pesa como el diablo.
Lloras como mujer lo que no supiste defender como hombre.
Llórate pobre y no solo.
"Lluvia antes de las tres, buena tarde es."
Lo ajeno siempre sabe bueno.
Lo bailado ni Dios lo quita.
Lo barato cuesta caro.
"Lo borracho y lo cabrón, se te quita en el panteón."
"Lo bueno se queda, lo lindo se acaba."
"Lo bueno, se va o se muere."
"Lo cocido, bien cocido y lo asado, mal asado."
Lo comido y lo gozado es lo único aprovechado.
Lo conozco como si lo acabara de desensillar.
Lo cortés no quita lo valiente
Lo Cortez no quita lo Cuauhtémoc.
Lo del agua al agua.
Lo dice a ver si pega. (a ver si es chicle y pega).
"Lo feo, con dinero se me quita."
Lo fiado es pariente de lo dado.
"Lo frito, calientito."
"Lo hecho en México,....hecho está."
Lo importante no es miar sino hacer espuma.
Lo mal ganado se lo lleva el diablo.
Lo más claro es lo más decentito.
Lo mejor de los dados es no jugarlos.
Lo mesmo para un jarabe que para un pespunteado.
Lo mío es mío y lo tuyo es de los dos.
Lo mismo es Chana que Juana.
Lo mismo es chile que aguja: todo pica.
"Lo mismo es irse que juirse, que irse sin pedir licencia."
Lo moderado conviene más en todas las cosas.
"Lo olvidado, ni agradecido ni pagado."
"Lo peor es que cuando no son angas, son mangas."
Lo perfecto es enemigo de lo bueno.
"Lo poco agrada, lo mucho enfada."
Lo poco asusta y lo mucho amansa.
Lo primero es no deber.
"Lo prometido es deuda, si el que promete se acuerda."
Lo que a muchos agrada fácilmente se guarda.
"Lo que a ti no te aprovecha y otro lo ha de menester, no lo debes tener."
Lo que a ti te sabe bueno es para otros veneno.
"Lo que a todos conviene, hacerse debe."
Lo que abunda no daña.
Lo que ahorra el ahorrador eso gasta el gastador.
Lo que al tiempo se deja al tiempo se le queda.
Lo que algo arde cura y lo que aprieta asegura.
"Lo que alimento es para unos, para otros es veneno."
Lo que allego la avaricia la prodigalidad lo desperdicia.
Lo que aprisa se construye a prisa se destruye.
"Lo que atrás viene, rabo parece."
Lo que basta nunca es poco.
Lo que bien empieza; bien acaba.
Lo que bien se aprende nunca se olvida.
Lo que con los padres hagas; con los hijos lo pagas.
"Lo que convenga, venga y venga."
Lo que cuenta no es ganar sino competir.
Lo que da el nieto al abuelo se puede colgar de un pelo.
Lo que daña la oruga el mastuerzo lo cura.
"Lo que de noche se hace, de día aparece."
Lo que de noche se oculta al año resulta.
Lo que deja mi vecina lo halla mi gallina.
"Lo que del padre fue ahorros, el hijo gastó a chorros."
Lo que desees para mi que Dios te lo multiplique.
"Lo que Dios da, llevarse ha."
Lo que Dios da por bien será.
"Lo que el agua trae, el agua se lo lleva."
Lo que el buey rumia en otro buche lo muda.
Lo que el corazón miente a la boca sale.
Lo que el día trae el día se lo lleva.
"Lo que el diablo no puede hacer, hácelo la mujer."
"Lo que el médico yerra, lo cubre la tierra."
"Lo que el soberbio tira, el humilde lo recoge."
Lo que en el corazón está en la boca sale.
Lo que el niño oyó en el hogar eso dice en el portal.
Lo que el temor acobarda la avaricia lo resguarda.
Lo que en el corazón se fragua por la boca se desagua.
"Lo que en el rico es alegría, en el pobre es borrachera."
Lo que en la leche se mama en la mortaja se derrama.
Lo que en la teta se mama hasta en la muerte se clama.
"Lo que en tu casa no hay, sal a la calle y lo encontrarás."
Lo que en tu vida no hicieres de tus herederos no lo esperes.
Lo que entra en los ojos no ha menester anteojos.
Lo que es bueno para el diente no lo es para el vientre.
Lo que es bueno para el hígado es malo para el bazo.
Lo que es de Dios a la mano se viene.
Lo que es de moda no incomoda.
Lo que es del agua al agua.
Lo que es igual pa'todos no es ventajoso pa'ninguno.
Lo que es para sí no es para nadie.
Lo que es parejo no es chipotudo.
"Lo que está bien, no puede estar mal."
Lo que está limpio no necesita jabón.
Lo que está ordenado en el cielo...
...forzosamente está ordenado en el suelo.
"Lo que fácilmente se hace, fácilmente se deshace."
"Lo que fue duro de pasar, pasado es dulce de recordar."
"Lo que fue ya se pasó, el viento se lo llevó."
Lo que fuere sonará.
Lo que fuerza no puede ni genio vence.
Lo que gusta que bien luzca.
Lo que ha de cantar el buey canta la carreta.
"Lo que ha de hacer el tiempo, hágalo el seso."
Lo que ha de ser forzado mejor que sea de buen grado.
"Lo que hace a la postre el necio, eso hace al principio el sabio."
Lo que hace el herrero que lo pague el tejedor.
Lo que hace el mono hace la mona.
Lo que hace la mano hace la tras.
Lo que has de comer déjalo bien cocer.
Lo que has de dar al ratón dalo al gato.
Lo que hiciere la diestra no lo sepa la siniestra.
"Lo que hoy aparece, mañana perece."
"Lo que la boca dice, la bolsa lo sostenga."
Lo que la cuna da solo el ataúd lo quitará.
"Lo que la leche da, no lo quita la ciudad."
Lo que la loba hace al lobo le place.
Lo que la mujer más desea es lo que más se le niega.
"Lo que la mujer quiere, Dios lo quiere."
"Lo que la vieja quería, soñando lo tenía."
"Lo que maduro está, por su peso caerá."
"Lo que mal empieza, mal acaba."
Lo que más se odia en la casa se tiene.
Lo que más trabajo cuesta más dulce se muestra.
"Lo que me debe Juan no me lo puede pagar,..."
...pero si se muriera menos pudiera.
Lo que me han de dar de fierros mejor dénmelo de tortillas.
"Lo que mortifica, ni se recuerda ni se platica."
"Lo que mucho vale, mucho cuesta."
"Lo que natura no dá, Salamanca no lo presta."
"Lo que no cabe en razón, cabe en pasión."
Lo que no compran lo dejan tratado.
"Lo que no cuesta, algo aprovecha."
Lo que no das no quites.
"Lo que no deja, dejarlo."
"Lo que no deseas, te venga, sea tabardillo o viruela."
Lo que no empieza no se acaba.
"Lo que no engorda, apendeja."
Lo que no engorda; o es pecado o da cáncer.
"Lo que no es delito, es deleite. (es de elote)."
Lo que no es para miarlo no es para beberlo.
"Lo que no está en el mercado, ni vendido no comprado."
Lo que no fue en tu año; no fue en tu daño.
Lo que no gastan en lágrimas lo gastan en suspiros.
Lo que no haga falta no se compre por barato.
"Lo que no has de comer, déjalo cocer."
"Lo que no mata, engorda."
Lo que no me como no me hace daño.
Lo que no oigo no lo valgo.
Lo que no pienses comprar no lo has de alabar.
Lo que no quieras para ti no lo hagas a tu prójimo.
Lo que no quieres que digan no lo digas.
Lo que no requieres; ¿Para qué lo quieres?.
Lo que no sabe lo inventa.
Lo que no se comienza nunca se acaba.
"Lo que no se enseña, no se vende."
Lo que no se espera más pronto llega.
"Lo que no se habla, no se entiende."
Lo que no se hace en la vida se hace en la muerte.
"Lo que no se llevan los ladrones, aparece en los rincones."
"Lo que no se paga en esta vida, se paga en la otra."
Lo que no se puede comprar con dinero no se ha de vender por dinero.
"Lo que no se ve, no se juzga."
"Lo que no sirve, ¡Qué lata da.!"
"Lo que no sucede en siglos, sucede en un momento."
"Lo que no te gusta ver, en tu casa lo has de tener."
"Lo que no tiene remedio, olvidarlo es lo mejor."
"Lo que no tiene remedio, remediarlo es imposible."
Lo que tu hermano no hará contigo lo hará tu amigo.
Lo que no va en vino va en lagrimas y suspiros.
"Lo que nunca he tenido, ni falta me hace."
"Lo que nunca se hizo, nunca se dijo."
"Lo que otro suda, a mi poco me dura."
"Lo que pasa, pasa, lo que no, se atora."
"Lo que para mientras se deja, para mientras se queda."
"Lo que poco pesa, bien se lleva."
Lo que por bien pudieras lograr no lo obtengas por el mal.
Lo que puedas con ruegos no lo hagas con fuegos.
"Lo que puede una mujer, en su huerto ha de nacer."
"Lo que quieras de la cerca; pero de la huerta, nada."
Lo que redunda en mi mal sábeme a acíbar con sal.
Lo que recibas de dado recíbelo con agrado.
Lo que repugna hace daño.
"Lo que resiste, apoya."
Lo que sala la boca ataca la bolsa.
Lo que se alaba se hecha a perder.
Lo que se aprende en la cuna siempre dura.
"Lo que se cae de la mano, para mi hermano."
Lo que se da sin fineza se acepta sin gratitud.
Lo que se dilata no se pierde si al fin viene.
Lo que se gana reglando se pierde corrigiendo.
"Lo que se ha de empeñar, mejor que se venda."
"Lo que se ha de pelar, que se vaya remojando."
"Lo que se mama, no se olvida."
Lo que se pierde en el higo se gana en la pasa.
"Lo que se puede mudar, propio no lo has de llamar."
"Lo que se usa, no se excusa."
"Lo que se ve, no se niega"
"Lo que se ve, no se pregunta."
"Lo que se ve, no se niega"
"Lo que sea bueno, meter al seno."
"Lo que sea, que suene."
Lo que sin esfuerzo se gana nada se vuelve.
"Lo que sin tiempo madura, poco dura."
Lo que sobra estorba.
"Lo que sobra, harta"
"Lo que te cubre, esto te descubre."
Lo que te dice el espejo no te lo dice el concepto.
Lo que te dijeren al oído no lo digas ni a tu marido.
Lo que te ha tocado en suerte no lo tengas por fuerte.
Lo que tiene la olla saca la cuchara.
"Lo que tú te hagas valer, te harán valer los demás."
